날짜,구분,자원명,영문명,국제종가,국제단위,적용환율(원/달러),환율출처,환산단위,원화시장단가(원),스크랩추정_70%(원),스크랩추정_80%(원)
2026-09-24,비철금속,구리,Copper,6.685,USD/Lbs,1366.7,네이버 금융 (하나은행 고시환율),원/kg,20142,14100,16114
2026-09-24,철·스크랩,철·철스크랩,Steel Scrap,404.5,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,553,387,442
2026-09-24,비철금속,알루미늄,Aluminum,3251.5,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,4444,3111,3555
2026-09-24,비철금속,아연,Zinc,3903.35,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,5335,3734,4268
2026-09-24,비철금속,주석,Tin,54214.0,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,74094,51866,59275
2026-09-24,비철금속,납,Lead,1924.95,USD/T,1366.7,네이버 금융 (하나은행 고시환율),원/kg,2631,1842,2105
2026-09-24,귀금속,금,Gold,4284.93,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,188282,131797,150625
2026-09-24,귀금속,은,Silver,64.066,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,2815,1971,2252
2026-09-24,PGM (백금족),백금,Platinum,1753.8,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,77063,53944,61650
2026-09-24,PGM (백금족),팔라듐,Palladium,1269.0,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,55760,39032,44608
2026-09-24,PGM (백금족),로듐,Rhodium,9300.0,USD/t.oz,1366.7,네이버 금융 (하나은행 고시환율),원/g,408646,286052,326917
